Crime,Precinct,Total
Major felony crime,100th Precinct,393
Major felony crime,101st Precinct,588
Major felony crime,102nd Precinct,1569
Major felony crime,103rd Precinct,1708
Major felony crime,104th Precinct,1707
Major felony crime,105th Precinct,1833
Major felony crime,106th Precinct,1462
Major felony crime,107th Precinct,1274
Major felony crime,108th Precinct,1239
Major felony crime,109th Precinct,1907
Major felony crime,10th Precinct,1039
Major felony crime,110th Precinct,1584
Major felony crime,111st Precinct,853
Major felony crime,112nd Precinct,858
Major felony crime,113rd Precinct,2327
Major felony crime,114th Precinct,1952
Major felony crime,115th Precinct,1816
Major felony crime,120th Precinct,1569
Major felony crime,122nd Precinct,1060
Major felony crime,123rd Precinct,389
Major felony crime,13th Precinct,2116
Major felony crime,14th Precinct,2968
Major felony crime,17th Precinct,942
Major felony crime,18th Precinct,2355
Major felony crime,19th Precinct,1801
Major felony crime,1st Precinct,1401
Major felony crime,20th Precinct,874
Major felony crime,22nd Precinct,81
Major felony crime,23rd Precinct,877
Major felony crime,24th Precinct,944
Major felony crime,25th Precinct,861
Major felony crime,26th Precinct,640
Major felony crime,28th Precinct,863
Major felony crime,30th Precinct,795
Major felony crime,32nd Precinct,1093
Major felony crime,33rd Precinct,873
Major felony crime,34th Precinct,1298
Major felony crime,40th Precinct,1636
Major felony crime,41st Precinct,1266
Major felony crime,42nd Precinct,1201
Major felony crime,43rd Precinct,2336
Major felony crime,44th Precinct,1964
Major felony crime,45th Precinct,1356
Major felony crime,46th Precinct,1540
Major felony crime,47th Precinct,1982
Major felony crime,48th Precinct,1437
Major felony crime,49th Precinct,1668
Major felony crime,50th Precinct,968
Major felony crime,52nd Precinct,2187
Major felony crime,5th Precinct,977
Major felony crime,60th Precinct,1260
Major felony crime,61st Precinct,1111
Major felony crime,62nd Precinct,1245
Major felony crime,63rd Precinct,1344
Major felony crime,66th Precinct,1284
Major felony crime,67th Precinct,2246
Major felony crime,68th Precinct,886
Major felony crime,69th Precinct,1065
Major felony crime,6th Precinct,1495
Major felony crime,70th Precinct,2027
Major felony crime,71st Precinct,1451
Major felony crime,72nd Precinct,1213
Major felony crime,73rd Precinct,2047
Major felony crime,75th Precinct,3217
Major felony crime,76th Precinct,600
Major felony crime,77th Precinct,1515
Major felony crime,78th Precinct,841
Major felony crime,79th Precinct,1722
Major felony crime,7th Precinct,693
Major felony crime,81st Precinct,1482
Major felony crime,83rd Precinct,1891
Major felony crime,84th Precinct,1024
Major felony crime,88th Precinct,1109
Major felony crime,90th Precinct,1763
Major felony crime,94th Precinct,846
Major felony crime,9th Precinct,1377
Murder and non negligent manslaughter,100th Precinct,0
Murder and non negligent manslaughter,101st Precinct,4
Murder and non negligent manslaughter,102nd Precinct,5
Murder and non negligent manslaughter,103rd Precinct,15
Murder and non negligent manslaughter,104th Precinct,3
Murder and non negligent manslaughter,105th Precinct,8
Murder and non negligent manslaughter,106th Precinct,6
Murder and non negligent manslaughter,107th Precinct,1
Murder and non negligent manslaughter,108th Precinct,0
Murder and non negligent manslaughter,109th Precinct,9
Murder and non negligent manslaughter,10th Precinct,1
Robbery,100th Precinct,67
Murder and non negligent manslaughter,110th Precinct,5
Murder and non negligent manslaughter,111st Precinct,1
Murder and non negligent manslaughter,112nd Precinct,1
Murder and non negligent manslaughter,113rd Precinct,20
Murder and non negligent manslaughter,114th Precinct,7
Murder and non negligent manslaughter,115th Precinct,6
Murder and non negligent manslaughter,120th Precinct,14
Murder and non negligent manslaughter,122nd Precinct,3
Murder and non negligent manslaughter,123rd Precinct,4
Murder and non negligent manslaughter,13th Precinct,4
Murder and non negligent manslaughter,14th Precinct,2
Murder and non negligent manslaughter,17th Precinct,0
Murder and non negligent manslaughter,18th Precinct,0
Murder and non negligent manslaughter,19th Precinct,0
Murder and non negligent manslaughter,1st Precinct,2
Murder and non negligent manslaughter,20th Precinct,0
Murder and non negligent manslaughter,22nd Precinct,0
Murder and non negligent manslaughter,23rd Precinct,5
Murder and non negligent manslaughter,24th Precinct,3
Murder and non negligent manslaughter,25th Precinct,13
Murder and non negligent manslaughter,26th Precinct,1
Murder and non negligent manslaughter,28th Precinct,4
Murder and non negligent manslaughter,30th Precinct,7
Murder and non negligent manslaughter,32nd Precinct,9
Murder and non negligent manslaughter,33rd Precinct,2
Robbery,101st Precinct,120
Murder and non negligent manslaughter,34th Precinct,7
Murder and non negligent manslaughter,40th Precinct,19
Murder and non negligent manslaughter,41st Precinct,7
Murder and non negligent manslaughter,42nd Precinct,11
Murder and non negligent manslaughter,43rd Precinct,20
Murder and non negligent manslaughter,44th Precinct,12
Murder and non negligent manslaughter,45th Precinct,5
Murder and non negligent manslaughter,46th Precinct,14
Murder and non negligent manslaughter,47th Precinct,21
Murder and non negligent manslaughter,48th Precinct,9
Murder and non negligent manslaughter,49th Precinct,5
Murder and non negligent manslaughter,50th Precinct,4
Murder and non negligent manslaughter,52nd Precinct,9
Murder and non negligent manslaughter,5th Precinct,1
Murder and non negligent manslaughter,60th Precinct,11
Murder and non negligent manslaughter,61st Precinct,12
Murder and non negligent manslaughter,62nd Precinct,3
Murder and non negligent manslaughter,63rd Precinct,3
Murder and non negligent manslaughter,66th Precinct,1
Murder and non negligent manslaughter,67th Precinct,25
Murder and non negligent manslaughter,68th Precinct,0
Murder and non negligent manslaughter,69th Precinct,7
Murder and non negligent manslaughter,6th Precinct,1
Murder and non negligent manslaughter,70th Precinct,7
Murder and non negligent manslaughter,71st Precinct,10
Robbery,102nd Precinct,248
Murder and non negligent manslaughter,72nd Precinct,5
Murder and non negligent manslaughter,73rd Precinct,26
Murder and non negligent manslaughter,75th Precinct,31
Murder and non negligent manslaughter,76th Precinct,1
Murder and non negligent manslaughter,77th Precinct,16
Murder and non negligent manslaughter,78th Precinct,1
Murder and non negligent manslaughter,79th Precinct,12
Murder and non negligent manslaughter,7th Precinct,5
Murder and non negligent manslaughter,81st Precinct,11
Murder and non negligent manslaughter,83rd Precinct,14
Murder and non negligent manslaughter,84th Precinct,3
Murder and non negligent manslaughter,88th Precinct,4
Murder and non negligent manslaughter,90th Precinct,5
Murder and non negligent manslaughter,94th Precinct,1
Murder and non negligent manslaughter,9th Precinct,2
Forcible rape,100th Precinct,1
Forcible rape,101st Precinct,9
Forcible rape,102nd Precinct,15
Forcible rape,103rd Precinct,20
Forcible rape,104th Precinct,10
Forcible rape,105th Precinct,16
Forcible rape,106th Precinct,3
Forcible rape,107th Precinct,14
Forcible rape,108th Precinct,10
Forcible rape,109th Precinct,14
Forcible rape,10th Precinct,11
Forcible rape,110th Precinct,22
Forcible rape,111st Precinct,5
Forcible rape,112nd Precinct,7
Forcible rape,113rd Precinct,21
Forcible rape,114th Precinct,16
Forcible rape,115th Precinct,31
Forcible rape,120th Precinct,33
Forcible rape,122nd Precinct,14
Forcible rape,123rd Precinct,0
Forcible rape,13th Precinct,18
Forcible rape,14th Precinct,22
Forcible rape,17th Precinct,10
Forcible rape,18th Precinct,14
Forcible rape,19th Precinct,16
Forcible rape,1st Precinct,5
Forcible rape,20th Precinct,11
Forcible rape,22nd Precinct,4
Forcible rape,23rd Precinct,24
Forcible rape,24th Precinct,13
Forcible rape,25th Precinct,16
Forcible rape,26th Precinct,9
Forcible rape,28th Precinct,12
Forcible rape,30th Precinct,23
Forcible rape,32nd Precinct,23
Forcible rape,33rd Precinct,20
Forcible rape,34th Precinct,17
Forcible rape,40th Precinct,21
Forcible rape,41st Precinct,11
Forcible rape,42nd Precinct,17
Forcible rape,43rd Precinct,26
Forcible rape,44th Precinct,22
Forcible rape,45th Precinct,17
Forcible rape,46th Precinct,21
Forcible rape,47th Precinct,29
Forcible rape,48th Precinct,10
Forcible rape,49th Precinct,15
Forcible rape,50th Precinct,6
Forcible rape,52nd Precinct,20
Forcible rape,5th Precinct,12
Forcible rape,60th Precinct,17
Forcible rape,61st Precinct,7
Forcible rape,62nd Precinct,13
Forcible rape,63rd Precinct,15
Forcible rape,66th Precinct,11
Forcible rape,67th Precinct,29
Forcible rape,68th Precinct,2
Forcible rape,69th Precinct,16
Forcible rape,6th Precinct,13
Forcible rape,70th Precinct,13
Forcible rape,71st Precinct,15
Forcible rape,72nd Precinct,16
Forcible rape,73rd Precinct,22
Forcible rape,75th Precinct,48
Forcible rape,76th Precinct,5
Forcible rape,77th Precinct,24
Forcible rape,78th Precinct,3
Forcible rape,79th Precinct,24
Forcible rape,7th Precinct,11
Forcible rape,81st Precinct,17
Forcible rape,83rd Precinct,27
Forcible rape,84th Precinct,1
Forcible rape,88th Precinct,7
Forcible rape,90th Precinct,14
Forcible rape,94th Precinct,1
Forcible rape,9th Precinct,12
Robbery,103rd Precinct,453
Robbery,104th Precinct,261
Robbery,105th Precinct,324
Robbery,106th Precinct,273
Robbery,107th Precinct,239
Robbery,108th Precinct,185
Robbery,109th Precinct,220
Robbery,10th Precinct,133
Robbery,110th Precinct,336
Robbery,111st Precinct,87
Robbery,112nd Precinct,125
Robbery,113rd Precinct,410
Robbery,114th Precinct,346
Robbery,115th Precinct,338
Robbery,120th Precinct,266
Robbery,122nd Precinct,121
Robbery,123rd Precinct,32
Robbery,13th Precinct,209
Robbery,14th Precinct,184
Robbery,17th Precinct,51
Robbery,18th Precinct,154
Robbery,19th Precinct,146
Robbery,1st Precinct,105
Robbery,20th Precinct,73
Robbery,22nd Precinct,18
Robbery,23rd Precinct,229
Robbery,24th Precinct,191
Robbery,25th Precinct,221
Robbery,26th Precinct,163
Robbery,28th Precinct,250
Robbery,30th Precinct,266
Robbery,32nd Precinct,259
Robbery,33rd Precinct,251
Robbery,34th Precinct,285
Robbery,40th Precinct,397
Robbery,41st Precinct,262
Robbery,42nd Precinct,347
Robbery,43rd Precinct,512
Robbery,44th Precinct,501
Robbery,45th Precinct,232
Robbery,46th Precinct,423
Robbery,47th Precinct,438
Robbery,48th Precinct,392
Robbery,49th Precinct,346
Robbery,50th Precinct,152
Robbery,52nd Precinct,478
Robbery,5th Precinct,118
Robbery,60th Precinct,238
Robbery,61st Precinct,147
Robbery,62nd Precinct,190
Robbery,63rd Precinct,228
Robbery,66th Precinct,183
Robbery,67th Precinct,426
Robbery,68th Precinct,98
Robbery,69th Precinct,240
Robbery,6th Precinct,151
Robbery,70th Precinct,394
Robbery,71st Precinct,279
Robbery,72nd Precinct,289
Robbery,73rd Precinct,532
Robbery,75th Precinct,781
Robbery,76th Precinct,115
Robbery,77th Precinct,353
Robbery,78th Precinct,136
Robbery,79th Precinct,439
Robbery,7th Precinct,119
Robbery,81st Precinct,356
Robbery,83rd Precinct,477
Robbery,84th Precinct,154
Robbery,88th Precinct,242
Robbery,90th Precinct,380
Robbery,94th Precinct,115
Robbery,9th Precinct,196
Felonious rape,100th Precinct,94
Felonious rape,101st Precinct,168
Felonious rape,102nd Precinct,273
Felonious rape,103rd Precinct,342
Felonious rape,104th Precinct,219
Felonious rape,105th Precinct,259
Felonious rape,106th Precinct,183
Felonious rape,107th Precinct,118
Felonious rape,108th Precinct,116
Felonious rape,109th Precinct,232
Felonious rape,10th Precinct,108
Felonious rape,110th Precinct,273
Felonious rape,111st Precinct,52
Felonious rape,112nd Precinct,54
Felonious rape,113rd Precinct,463
Felonious rape,114th Precinct,318
Felonious rape,115th Precinct,347
Felonious rape,120th Precinct,331
Felonious rape,122nd Precinct,134
Felonious rape,123rd Precinct,55
Felonious rape,13th Precinct,147
Felonious rape,14th Precinct,167
Felonious rape,17th Precinct,41
Felonious rape,18th Precinct,118
Felonious rape,19th Precinct,105
Felonious rape,1st Precinct,78
Felonious rape,20th Precinct,46
Felonious rape,22nd Precinct,9
Felonious rape,23rd Precinct,239
Felonious rape,24th Precinct,110
Felonious rape,25th Precinct,221
Felonious rape,26th Precinct,100
Felonious rape,28th Precinct,207
Felonious rape,30th Precinct,188
Felonious rape,32nd Precinct,326
Felonious rape,33rd Precinct,171
Felonious rape,34th Precinct,240
Felonious rape,40th Precinct,445
Felonious rape,41st Precinct,436
Felonious rape,42nd Precinct,331
Felonious rape,43rd Precinct,550
Felonious rape,44th Precinct,529
Felonious rape,45th Precinct,163
Felonious rape,46th Precinct,399
Felonious rape,47th Precinct,425
Felonious rape,48th Precinct,342
Felonious rape,49th Precinct,261
Felonious rape,50th Precinct,108
Felonious rape,52nd Precinct,435
Felonious rape,5th Precinct,118
Felonious rape,60th Precinct,237
Felonious rape,61st Precinct,140
Felonious rape,62nd Precinct,156
Felonious rape,63rd Precinct,158
Felonious rape,66th Precinct,196
Felonious rape,67th Precinct,546
Felonious rape,68th Precinct,119
Felonious rape,69th Precinct,188
Felonious rape,6th Precinct,102
Felonious rape,70th Precinct,373
Felonious rape,71st Precinct,330
Felonious rape,72nd Precinct,212
Felonious rape,73rd Precinct,581
Felonious rape,75th Precinct,798
Felonious rape,76th Precinct,96
Felonious rape,77th Precinct,323
Felonious rape,78th Precinct,64
Felonious rape,79th Precinct,419
Felonious rape,7th Precinct,109
Felonious rape,81st Precinct,325
Felonious rape,83rd Precinct,356
Felonious rape,84th Precinct,128
Felonious rape,88th Precinct,151
Felonious rape,90th Precinct,225
Felonious rape,94th Precinct,75
Felonious rape,9th Precinct,147
Burglary,100th Precinct,89
Burglary,101st Precinct,123
Burglary,102nd Precinct,355
Burglary,103rd Precinct,277
Burglary,104th Precinct,419
Burglary,105th Precinct,423
Burglary,106th Precinct,306
Burglary,107th Precinct,275
Burglary,108th Precinct,263
Burglary,109th Precinct,437
Burglary,10th Precinct,95
Burglary,110th Precinct,289
Burglary,111st Precinct,224
Burglary,112nd Precinct,139
Burglary,113rd Precinct,463
Burglary,114th Precinct,453
Burglary,115th Precinct,281
Burglary,120th Precinct,350
Burglary,122nd Precinct,241
Burglary,123rd Precinct,99
Burglary,13th Precinct,229
Burglary,14th Precinct,346
Burglary,17th Precinct,95
Burglary,18th Precinct,185
Burglary,19th Precinct,225
Burglary,1st Precinct,149
Burglary,20th Precinct,72
Burglary,22nd Precinct,1
Burglary,23rd Precinct,107
Burglary,24th Precinct,107
Burglary,25th Precinct,104
Burglary,26th Precinct,70
Burglary,28th Precinct,93
Burglary,30th Precinct,121
Burglary,32nd Precinct,147
Burglary,33rd Precinct,111
Burglary,34th Precinct,226
Burglary,40th Precinct,210
Burglary,41st Precinct,198
Burglary,42nd Precinct,150
Burglary,43rd Precinct,378
Burglary,44th Precinct,291
Burglary,45th Precinct,268
Burglary,46th Precinct,217
Burglary,47th Precinct,394
Burglary,48th Precinct,231
Burglary,49th Precinct,371
Burglary,50th Precinct,207
Burglary,52nd Precinct,471
Burglary,5th Precinct,101
Burglary,60th Precinct,178
Burglary,61st Precinct,241
Burglary,62nd Precinct,276
Burglary,63rd Precinct,275
Burglary,66th Precinct,355
Burglary,67th Precinct,433
Burglary,68th Precinct,202
Burglary,69th Precinct,233
Burglary,6th Precinct,160
Burglary,70th Precinct,351
Burglary,71st Precinct,285
Burglary,72nd Precinct,208
Burglary,73rd Precinct,296
Burglary,75th Precinct,496
Burglary,76th Precinct,100
Burglary,77th Precinct,342
Burglary,78th Precinct,140
Burglary,79th Precinct,346
Burglary,7th Precinct,96
Burglary,81st Precinct,279
Burglary,83rd Precinct,536
Burglary,84th Precinct,125
Burglary,88th Precinct,165
Burglary,90th Precinct,423
Burglary,94th Precinct,209
Burglary,9th Precinct,200
Grand larceny,100th Precinct,117
Grand larceny,101st Precinct,103
Grand larceny,102nd Precinct,375
Grand larceny,103rd Precinct,431
Grand larceny,104th Precinct,477
Grand larceny,105th Precinct,442
Grand larceny,106th Precinct,364
Grand larceny,107th Precinct,402
Grand larceny,108th Precinct,480
Grand larceny,109th Precinct,717
Grand larceny,10th Precinct,650
Grand larceny,110th Precinct,544
