precinct,phone,address,lat,lng,borough
1st Precinct,(212) 334-0611,16 Ericsson Place,40.7202061,-74.0069962,Manhattan
5th Precinct,(212) 334-0711,19 Elizabeth Street,40.716188,-73.99748699999999,Manhattan
6th Precinct,(212) 741-4811,233 West 10 Street,40.7340002,-74.0054329,Manhattan
7th Precinct,(212) 477-7311,19 1/2 Pitt Street,40.7163623,-73.9839341,Manhattan
9th Precinct,(212) 477-7811,321 East 5 Street,40.7264639,-73.9879327,Manhattan
10th Precinct,(212) 741-8211,230 West 20th Street,40.742685,-73.99866600000001,Manhattan
13th Precinct,(212) 477-7411,230 East 21st Street,40.73673960000001,-73.9827007,Manhattan
"14th Precinct","(212) 239-9811","357 West 35th Street",40.7539299,-73.994835,Manhattan
17th Precinct,(212) 826-3211,167 East 51st Street,40.75682150000001,-73.9711731,Manhattan
"18th Precinct","(212) 767-8400","306 West 54th Street",40.7649192,-73.9850802,Manhattan
19th Precinct,(212) 452-0600,153 East 67th Street,40.76717,-73.96379,Manhattan
20th Precinct,(212) 580-6411,120 West 82nd Street,40.7842825,-73.9749964,Manhattan
"22nd Precinct","(212) 570-4820","86th St & Transverse Road",41.6466564,-93.73656079999999,Manhattan
23rd Precinct,(212) 860-6411,162 East 102nd Street,40.7891801,-73.94736639999999,Manhattan
24th Precinct,(212) 678-1811,151 West 100th Street,40.7964599,-73.9672592,Manhattan
25th Precinct,(212) 860-6511,120 East 119th Street,40.80068,-73.94111099999999,Manhattan
26th Precinct,(212) 678-1311,520 West 126th Street,40.8141191,-73.9557173,Manhattan
28th Precinct,(212) 678-1611,2271-89 8th Avenue,40.7401238,-74.00227869999999,Manhattan
30th Precinct,(212) 690-8811,451 West 151st Street,40.8288143,-73.943716,Manhattan
32nd Precinct,(212) 690-6311,250 West 135th Street,40.81573059999999,-73.9453589,Manhattan
33rd Precinct,(212) 927-3200,2207 Amsterdam Avenue,40.84075,-73.9358766,Manhattan
34th Precinct,(212) 927-9711,4295 Broadway,40.8515984,-73.93540689999999,Manhattan
40th Precinct,(718) 402-2270,257 Alexander Avenue,40.8103211,-73.9252023,Bronx
41st Precinct,(718) 542-4771,1035 Longwood Avenue,40.8162522,-73.8960891,Bronx
42nd Precinct,(718) 402-3887,830 Washington Avenue,40.8221283,-73.9116923,Bronx
43rd Precinct,(718) 542-0888,900 Fteley Avenue,40.823097,-73.869649,Bronx
44th Precinct,(718) 590-5511,2 East 169th Street,40.8374992,-73.9195688,Bronx
45th Precinct,(718) 822-5411,2877 Barkley Avenue,40.830869,-73.827304,Bronx
46th Precinct,(718) 220-5211,2120 Ryer Avenue,40.854063,-73.90033269999999,Bronx
47th Precinct,(718) 920-1211,4111 Laconia Avenue,40.88742200000001,-73.847585,Bronx
48th Precinct,(718) 299-3900,450 Cross Bronx Expressway,40.8439849,-73.9005209,Bronx
49th Precinct,(718) 918-2000,2121 Eastchester Road,40.856474,-73.84396100000001,Bronx
50th Precinct,(718) 543-5700,3450 Kingsbridge Avenue,40.883563,-73.9024298,Bronx
52nd Precinct,(718) 220-5811,3016 Webster Avenue,40.8691419,-73.879543,Bronx
60th Precinct,(718) 946-3311,2951 West 8th Street,40.5796316,-73.976156,Brooklyn
61st Precinct,(718) 627-6611,2575 Coney Island Avenue,40.594085,-73.960562,Brooklyn
62nd Precinct,(718) 236-2611,1925 Bath Avenue,40.6022551,-74.0030252,Brooklyn
63rd Precinct,(718) 258-4411,1844 Brooklyn Avenue,40.6279587,-73.9414305,Brooklyn
66th Precinct,(718) 851-5611,5822 16th Avenue,40.625758,-73.9914299,Brooklyn
67th Precinct,(718) 287-3211,2820 Snyder Avenue,40.648623,-73.95031600000002,Brooklyn
68th Precinct,(718) 439-4211,333 65th Street,40.6389906,-74.022729,Brooklyn
69th Precinct,(718) 257-6211,9720 Foster Avenue,40.648408,-73.90490199999999,Brooklyn
70th Precinct,(718) 851-5511,154 Lawrence Avenue,40.630329,-73.973697,Brooklyn
71st Precinct,(718) 735-0511,421 Empire Boulevard,40.664506,-73.947711,Brooklyn
72nd Precinct,(718) 965-6311,830 4th Avenue,40.6582606,-74.0009733,Brooklyn
73rd Precinct,(718) 495-5411,1470 East New York Avenue,40.6711214,-73.9134934,Brooklyn
75th Precinct,(718) 827-3511,1000 Sutter Avenue,40.6710909,-73.881421,Brooklyn
