code,name,score,address,latitude,longitude,borough
Q610,Aviation Career & Technical Education High School,A,45-30 36 STREET,40.7555319,-73.9251141,OUEENS
M276,BATTERY PARK CITY SCHOOL,A,55 BATTERY PLACE,40.7065629,-74.0175278,MANHATTAN
K035,Brooklyn Brownstone School,A,272 MCDONOUGH STREET,40.6817075,-73.9357224,BROOKLYN
K555,Brooklyn College Academy,A,2900 BEDFORD AVENUE,40.6302756,-73.9555449,BROOKLYN
M859,Community Health Academy of the Heights,A,512 W 182ND ST,40.8489732,-73.9311057,MANHATTAN
R470,Concord High School,A,109 RHINE AVENUE,40.6109075,-74.0869434,STATEN ISLAND
M114,East Side Middle School,A,331 EAST 91ST STREET,40.7802752,-73.9474786,MANHATTAN
M131,EMMA LAZARUS HIGH SCHOOL,A,100 HESTER STREET,40.71651,-73.9936997,MANHATTAN
M485,Fiorello H. LaGuardia High School of Music & Art a,A,100 AMSTERDAM AVENUE,40.7772016,-73.9829592,MANHATTAN
Q440,Forest Hills High School,A,67-01 110 STREET,40.7298452,-73.8446172,OUEENS
K046,FORT GREENE PREPARATORY ACADEMY,A,100 CLERMONT AVENUE,40.694514,-73.971642,BROOKLYN
Q430,Francis Lewis High School,A,58-20 UTOPIA PARKWAY,40.7404652,-73.7936092,OUEENS
K026,Frederick Douglass Academy IV Secondary School,A,1010 LAFAYETTE AVENUE,40.6921294,-73.9316656,BROOKLYN
K040,Gotham Professional Arts Academy,A,265 RALPH AVENUE,40.6804339,-73.9222257,BROOKLYN
M153,Hamilton Heights School,A,1750 AMSTERDAM AVENUE,40.8262848,-73.9472873,MANHATTAN
Q650,High School for Construction Trades Engineering a,A,94-06 104TH STREET,40.68918,-73.841461,OUEENS
K485,High School of  Telecommunication Arts and Technol,A,350 67 STREET,40.6368485,-74.0231804,BROOKLYN
Q505,Hillcrest High School,A,160-05 HIGHLAND AVENUE,40.7118564,-73.7953952,OUEENS
Q010,I.S. 010 Horace Greeley,A,45-11 31ST AVE,40.7595184,-73.9124987,OUEENS
Q119,I.S. 119 The Glendale,A,74-01 78 AVENUE,40.705198,-73.875033,OUEENS
Q125,I.S. 125 Thom J. McCann Woodside,A,46-02 47 AVENUE,40.7408445,-73.9186741,OUEENS
Q141,I.S. 141 The Steinway,A,37-11 21 AVENUE,40.7758926,-73.9045645,OUEENS
K211,I.S. 211 John Wilson,A,1001 EAST 100 STREET,40.6435042,-73.8964704,BROOKLYN
Q227,I.S. 227 Louis Armstrong,A,32-02 JUNCTION BOULEVARD,40.757566,-73.874573,OUEENS
K281,I.S. 281 Joseph B Cavallaro,A,8787 24 AVENUE,40.5943634,-73.9939373,BROOKLYN
Q530,International High School at LaGuardia Community C,A,31-10 THOMSON AVENUE,40.7439997,-73.9350126,OUEENS
Q172,Irwin Altman Middle School 172,A,81-14 257 STREET,40.7420669,-73.7130222,OUEENS
M435,Isaac Newton Middle School for Math & Science,A,260 PLEASANT AVENUE,40.7942234,-73.9326416,MANHATTAN
K014,J.H.S. 014 Shell Bank,A,2424 BATCHELDER STREET,40.5934319,-73.9376636,BROOKLYN
Q067,J.H.S. 067 Louis Pasteur,A,51-60 MARATHON PARKWAY,40.762227,-73.734814,OUEENS
Q074,J.H.S. 074 Nathaniel Hawthorne,A,61-15 OCEANIA STREET,40.745069,-73.766796,OUEENS
K088,J.H.S. 088 Peter Rouget,A,544 7 AVENUE,40.6606685,-73.9885115,BROOKLYN
X151,J.H.S. 151 Lou Gehrig,A,250 EAST 156 STREET,40.8230735,-73.9213427,BRONX
M167,J.H.S. 167 Robert F. Wagner,A,220 EAST  76 STREET,40.7718269,-73.9579403,MANHATTAN
K201,J.H.S. 201 The Dyker Heights,A,8010 12 AVENUE,40.619031,-74.013746,BROOKLYN
Q217,J.H.S. 217 Robert A. Van Wyck,A,85-05 144 STREET,40.7104481,-73.8118626,OUEENS
K227,J.H.S. 227 Edward B. Shallow,A,6500 16 AVENUE,40.6218446,-73.9955288,BROOKLYN
K259,J.H.S. 259 William Mckinley,A,7305 FT HAMILTON PARKWAY,40.6265801,-74.0152513,BROOKLYN
M126,Jacob Riis School,A,80 CATHERINE STREET,40.7105245,-73.9967905,MANHATTAN
M057,James Weldon Johnson,A,176 EAST 115 STREET,40.797207,-73.941605,MANHATTAN
K535,Leon M. Goldstein High School for the Sciences,A,1830 SHORE BOULEVARD,40.5808957,-73.9351412,BROOKLYN
K728,Liberation Diploma Plus,A,2865 WEST 19TH STREET,40.5771617,-73.9856663,BROOKLYN
M048,LYFE [Babies],A,4360-78 BROADWAY,40.8369666,-73.9423905,MANHATTAN
M009,M.S. 243 Center School,A,100 WEST  84 STREET,40.7850013,-73.9737516,MANHATTAN
M040,M.S. 255 Salk School of Science,A,319 EAST 19 STREET,40.7350123,-73.9817101,MANHATTAN
K051,M.S. 51 William Alexander,A,350 5 AVENUE,40.6722102,-73.9845767,BROOKLYN
K335,M.S. 584,A,130 ROCHESTER AVENUE,40.674051,-73.92785,BROOKLYN
K154,Magnet School for Science & Technology,A,1625 11 AVENUE,40.6571194,-73.976048,BROOKLYN
K239,Mark Twain I.S. 239 for the Gifted & Talented,A,2401 NEPTUNE AVENUE,40.5784581,-73.9923972,BROOKLYN
M165,Mott Hall II,A,234 WEST 109 STREET,40.80288,-73.9661354,MANHATTAN
Q262,New York City Academy for Discovery,A,95-16 89TH AVENUE,40.69146,-73.848566,OUEENS
K215,P.S.  215  Morris H.  Weiss,A,415 AVENUE S,40.6020958,-73.9700169,BROOKLYN
Q266,P.S. / I.S. 266,A,74-10 COMMONWEALTH BOULEVARD,40.746011,-73.7283855,OUEENS
M002,P.S. 002 Meyer London,A,122 HENRY STREET,40.7130758,-73.9915487,MANHATTAN
M006,P.S. 006 Lillie D. Blake,A,45 EAST  81 STREET,40.7776753,-73.9607117,MANHATTAN
K007,P.S. 007 Abraham Lincoln,A,858 JAMAICA AVENUE,40.6896725,-73.8731145,BROOKLYN
X007,P.S. 007 Kingsbridge,A,3201 KINGSBRIDGE AVENUE,40.881546,-73.905683,BRONX
Q009,P.S. 009,A,58-74 57 STREET,40.7185651,-73.91211,OUEENS
Q011,P.S. 011 Kathryn Phelan,A,54-25 SKILLMAN AVENUE,40.7460634,-73.909482,OUEENS
M011,P.S. 011 William T. Harris,A,320 WEST  21 STREET,40.7445489,-74.000737,MANHATTAN
Q013,P.S. 013 Clement C. Moore,A,55-01 94 STREET,40.7372798,-73.8679645,OUEENS
Q017,P.S. 017 Henry David Thoreau,A,28-37 29 STREET,40.7685353,-73.9228596,OUEENS
X018,P.S. 018 John Peter Zenger,A,502 MORRIS AVENUE,40.816349,-73.922697,BRONX
Q018,P.S. 018 Winchester,A,86-35 235 COURT,40.7321665,-73.7324475,OUEENS
Q019,P.S. 019 Marino Jeantet,A,98-02 ROOSEVELT AVENUE,40.7493711,-73.8674499,OUEENS
R019,P.S. 019 The Curtis School,A,780 POST AVENUE,40.630563,-74.1268879,STATEN ISLAND
